CUSTOMER_ID,propensity_score,Strategy
SI00448691,7.6067364e-10,Reminder
SI00448691,7.606737e-10,Reminder
LL00361543,2.1657223e-09,Reminder
UF00519386,2.7013527e-09,Reminder
AZ00638313,7.756282e-09,Reminder
QO00561945,7.962283e-09,Reminder
TF00389815,9.532032e-09,Reminder
AT00643878,1.322711e-08,Reminder
AZ00638313,1.3661358e-08,Reminder
UY00428817,1.6674377e-08,Reminder
GV00365634,1.7063927e-08,Reminder
FM00674490,1.9028853e-08,Reminder
VA00373007,1.918494e-08,Reminder
FM00662484,2.3252598e-08,Reminder
WB00396524,2.7298677e-08,Reminder
TE00426221,2.7843145e-08,Reminder
AB00461174,3.1775564e-08,Reminder
PV00551452,3.2293144e-08,Reminder
MZ00281862,3.302214e-08,Reminder
KG00503588,3.340687e-08,Reminder
PV00551452,3.7813084e-08,Reminder
FM00662484,3.8944037e-08,Reminder
GV00365634,4.3472802e-08,Reminder
BJ00332739,4.5104844e-08,Reminder
BJ00332739,4.5104848e-08,Reminder
UY00428817,4.7790014e-08,Reminder
VA00373007,5.1243337e-08,Reminder
UH00670406,5.960816e-08,Reminder
UH00670406,5.960816e-08,Reminder
AT00643878,6.02492e-08,Reminder
BN00297534,6.305972e-08,Reminder
VF00470688,6.437647e-08,Reminder
VF00470688,6.437647e-08,Reminder
KN00665605,6.874792e-08,Reminder
KN00665605,7.511744e-08,Reminder
KD00661565,7.613485e-08,Reminder
NT00449070,7.731575e-08,Reminder
NT00449070,7.731575e-08,Reminder
RH00426422,7.731575e-08,Reminder
JJ00360054,7.731575e-08,Reminder
JJ00360054,7.895095e-08,Reminder
HW00415164,7.913263e-08,Reminder
ES00357724,8.304615e-08,Reminder
ES00357724,8.304615e-08,Reminder
EQ00419045,8.390193e-08,Reminder
LX00426358,8.390193e-08,Reminder
TI00652316,8.865733e-08,Reminder
UF00519386,9.600298e-08,Reminder
LX00426358,9.891227e-08,Reminder
EL00448251,1.0211325e-07,Reminder
EL00448251,1.02113255e-07,Reminder
AC00766200,1.0541031e-07,Reminder
AC00766200,1.070842e-07,Reminder
TM00550675,1.0830919e-07,Reminder
MZ00281862,1.2768578e-07,Reminder
EQ00419045,1.2893295e-07,Reminder
SG00784273,1.299201e-07,Reminder
SG00784273,1.299201e-07,Reminder
PF00663067,1.419946e-07,Reminder
PF00663067,1.419946e-07,Reminder
TF00389815,1.4900101e-07,Reminder
QF00418843,1.5712412e-07,Reminder
HW00415164,1.7391345e-07,Reminder
KD00661565,1.7559073e-07,Reminder
TI00652316,1.7891547e-07,Reminder
JH00687596,1.7896006e-07,Reminder
JH00687596,1.7896502e-07,Reminder
FG00369537,1.8238946e-07,Reminder
II00458633,1.867895e-07,Reminder
HE00319144,1.8800118e-07,Reminder
FG00805915,1.898702e-07,Reminder
PX00693385,1.898702e-07,Reminder
UI00421677,1.9124218e-07,Reminder
QL00626867,1.9547855e-07,Reminder
QL00626867,1.9547856e-07,Reminder
GR00417875,2.0320076e-07,Reminder
GR00417875,2.0320077e-07,Reminder
BN00297534,2.1242738e-07,Reminder
HE00319144,2.2046257e-07,Reminder
RQ00582374,2.208953e-07,Reminder
XY00653158,2.2386826e-07,Reminder
DK00547675,2.2414473e-07,Reminder
XY00653158,2.2585309e-07,Reminder
SM00324377,2.3400538e-07,Reminder
XH00368255,2.547851e-07,Reminder
XH00368255,2.547851e-07,Reminder
HH00377364,2.5586112e-07,Reminder
CL00874559,2.7683953e-07,Reminder
KG00503588,2.8352892e-07,Reminder
IH00272051,3.0680118e-07,Reminder
IH00272051,3.0680118e-07,Reminder
FM00797431,3.076172e-07,Reminder
AW00294139,3.1176904e-07,Reminder
RS00470716,3.1867614e-07,Reminder
TT00527410,3.2931894e-07,Reminder
FM00797431,3.3124266e-07,Reminder
AA00683689,3.3235722e-07,Reminder
FG00369537,3.3438852e-07,Reminder
CL00386286,3.3631022e-07,Reminder
CL00386286,3.3631022e-07,Reminder
YB00363232,3.3708662e-07,Reminder
MU00359331,3.6894878e-07,Reminder
YY00665554,3.8281215e-07,Reminder
UW01116166,3.8787513e-07,Reminder
TM00550675,3.8955423e-07,Reminder
VD00268909,3.900816e-07,Reminder
BT00810844,3.900816e-07,Reminder
MB00417224,3.900816e-07,Reminder
CQ00464122,3.900816e-07,Reminder
MB00417224,3.900816e-07,Reminder
BT00810844,3.900816e-07,Reminder
UY00420464,4.164481e-07,Reminder
MN00733427,4.2036007e-07,Reminder
GN00604108,4.2036007e-07,Reminder
GN00604108,4.203601e-07,Reminder
JM00291056,4.3535573e-07,Reminder
KL00641803,4.4005e-07,Reminder
AW00294139,4.434431e-07,Reminder
GB00553814,4.473668e-07,Reminder
DK00547675,4.5338956e-07,Reminder
AC00821859,4.5463239e-07,Reminder
NR00682934,4.5463239e-07,Reminder
NO00837992,4.5463239e-07,Reminder
QF00418843,4.6068553e-07,Reminder
TW00737703,4.6138067e-07,Reminder
VA00366949,4.690538e-07,Reminder
VA00366949,4.690538e-07,Reminder
LJ00448344,4.7195687e-07,Reminder
LJ00448344,4.719569e-07,Reminder
EH00339864,4.8604903e-07,Reminder
EZ00764134,4.9613254e-07,Reminder
HW00933506,5.002432e-07,Reminder
NF00270317,5.002432e-07,Reminder
HW00933506,5.002432e-07,Reminder
NF00270317,5.002432e-07,Reminder
CQ00464122,5.006022e-07,Reminder
SM00324377,5.0070486e-07,Reminder
WG00654209,5.0107144e-07,Reminder
TT00527410,5.0204113e-07,Reminder
MN00733427,5.0323354e-07,Reminder
NR00682934,5.059798e-07,Reminder
YR00469594,5.0681945e-07,Reminder
YR00469594,5.0681945e-07,Reminder
HW00826978,5.0780164e-07,Reminder
TW00737703,5.128823e-07,Reminder
AB00461174,5.2829347e-07,Reminder
WG00654209,5.35857e-07,Reminder
RU00803880,5.378034e-07,Reminder
RU00803880,5.378034e-07,Reminder
LL00449585,5.479463e-07,Reminder
RS00470716,5.500622e-07,Reminder
YY00665554,5.5190543e-07,Reminder
AY00390527,5.6955747e-07,Reminder
AY00390527,5.6955747e-07,Reminder
UV00692919,5.6955747e-07,Reminder
UV00692919,5.6955747e-07,Reminder
JX01126615,5.6955747e-07,Reminder
IS00461205,5.7389076e-07,Reminder
XA00812843,5.862814e-07,Reminder
HD00428559,5.959031e-07,Reminder
HD00428559,5.959031e-07,Reminder
JJ00544180,6.044024e-07,Reminder
UI00421677,6.0566435e-07,Reminder
CQ00368774,6.273442e-07,Reminder
CY00742853,6.330444e-07,Reminder
